Matricule;Application;Avis
AB12345678;14001;Outil RH complet mais parfois complexe à utiliser.
KL67890123;14002;Plateforme RH efficace mais manque de personnalisation.
UV45678901;14003; Logiciel de paie fiable pour les petites et moyennes entreprises.
CC45678901;14002;Outil RH peu fiable pour la gestion des documents sensibles.
CD23456789;14004;Solution financière puissante mais nécessite une formation approfondie.
YZ89012345;14004; Solution financière complexe et coûteuse pour les petites et moyennes entreprises.
AA01234567;14006; Outil CRM puissant pour la gestion des ventes et du marketing.
MN78901234;14007;Solution de suivi de projet peu intuitive pour les utilisateurs non techniques.
FF01234567;14010;Service client efficace mais interface utilisateur peu intuitive.
QR01234567;14008;Solution complexe à utiliser.
DD67890123;14008;L'application est complète.
OP89012345;14005;L'interface n'est pas intuitive.
EF34567890;14005;J'arrive facilement à suivre mes demandes.
WX67890123;14009;Le site est un peu lent mais simple à utiliser.
CC45678901;14009;Cela manque un peu de flexibilité au niveau du processus de recrutement.
